Name,State,Status,Managed By,Host,Cluster,Fault Domain,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Active Memory,Read BW Memory DRAM (Tier 0),Read BW Memory PMem (Tier 1),Consumed Memory DRAM (Tier 0),Consumed Memory PMem (Tier 1),Active Memory DRAM (Tier 0),Active Memory PMem (Tier 1),Guest OS,Compatibility,Memory Size,Reservation,CPUs,NICs,UPT Support,Uptime,IP Address,MAC Address,VMware Tools Version Status,"VMware Tools Running 
Status",DNS Name,EVC CPU Mode,EVC Graphics Mode (vSGA),UUID,VC UUID,Notes,Alarm Actions,HA Protection,Needs Consolidation,VM Storage Policies Compliance,Encryption,TPM,VBS,CitrixProvisioningSchemeId,XdConfig
FTLQVT01,Powered On,Normal,,ftlesx05.premierds.net,Core Infrastructure,,191.09 GB,121.27 GB,2.55 GHz,36.45 GB,3,1.92 GB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Microsoft Windows (64-bit),vmx-21,64 GB,0 B,8,1,false,6 days,"192.168.1.8, fe80::1e6d:cc3:63c0:cd8d",00:50:56:92:7f:8b,guestToolsCurrent|12449,Running,FTLQVT01.PremierDestinationServices.com,,,42129c0c-90fc-1dd5-c0b6-94c42db15a02,50125a05-4837-b188-2edc-c70c8c41950b,,Enabled,N/A,Not Required," --",No,false,false,,
FTLPDC02,Powered On,Normal,,ftlesx06.premierds.net,Core Infrastructure,,2.1 TB,611.5 GB,2.45 GHz,8.04 GB,5,409 MB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Microsoft Windows Server 2022 (64-bit),vmx-21,8 GB,0 B,4,1,false,2 days,"192.168.1.32, fe80::a937:625c:c05c:5a22",00:50:56:92:b4:fb,guestToolsCurrent|12449,Running,FTLPDC02.PremierDestinationServices.com,,,421239ce-6ae3-9e8a-bde0-83b7905b09c6,50124c69-8da5-e845-c8d4-34d7d5c0bcb8,,Enabled,N/A,Not Required," --",No,false,false,,
FTLPUA01,Powered On,Normal,,ftlesx05.premierds.net,Core Infrastructure,,131.09 GB,69.44 GB,2.13 GHz,4.05 GB,39,1.56 GB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Microsoft Windows Server 2025 (64-bit),vmx-21,4 GB,0 B,4,1,false,2 days,"192.168.1.34, fe80::4b64:c96f:45d:7ec9",00:50:56:92:7c:60,guestToolsCurrent|12449,Running,FTLPUA01.PremierDestinationServices.com,,,42128c22-b082-8018-ddd8-99c6bd357d56,50122b83-c293-0e71-ff15-60e008cb5f52,,Enabled,N/A,Not Required," --",No,false,false,,
FTLPMGMT,Powered On,Normal,,ftlesx05.premierds.net,Core Infrastructure,,332.09 GB,165.89 GB,1.89 GHz,28.49 GB,32,10.24 GB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Microsoft Windows Server 2022 (64-bit),vmx-21,32 GB,0 B,4,1,false,55 minutes,"192.168.1.35, fe80::ec6:6e1c:7197:a9a6",00:50:56:97:a0:97,guestToolsCurrent|12449,Running,FTLPMGMT.PremierDestinationServices.com,,,42177c9a-a76c-2785-5179-151e33685d39,5017b0fc-a5db-e423-d381-f14b8ac99858,,Enabled,N/A,Not Required," --",No,false,false,,
FTLPVC01,Powered On,Normal,,ftlesx05.premierds.net,Core Infrastructure,,610.9 GB,85.6 GB,1.29 GHz,22.55 GB,15,3.6 GB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Other 3.x or later Linux (64-bit),ESXi 5.5 and later (VM version 10),24 GB,0 B,6,1,false,22 days,192.168.1.100,00:0c:29:a0:79:ca,guestToolsUnmanaged|12389,Running,FTLPVC01.PremierDS.net,"Intel® ""Cascade Lake"" Generation",,564d29d4-e719-5be7-d2fb-cc1cdca079ca,52d4d7b8-fe3c-f35b-9481-c114528ee806,VMware vCenter Server Appliance,Enabled,N/A,Not Required," --",No,false,false,,
FTLPDC01,Powered On,Normal,,ftlesx05.premierds.net,Core Infrastructure,,2.1 TB,651.43 GB,209 MHz,8.01 GB,19,1.52 GB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Microsoft Windows Server 2022 (64-bit),vmx-21,8 GB,0 B,4,1,false,22 days,"192.168.1.31, fe80::b5d9:52:1673:5c8c",00:50:56:92:bd:a0,guestToolsCurrent|12449,Running,FTLPDC01.PremierDestinationServices.com,,,4212aeff-fbd3-559e-4545-f27cb1406c04,50120c9a-215c-a3ff-68a5-3cea52c81d6a,,Enabled,N/A,Not Required," --",No,false,false,,
FTLPCC02,Powered On,Normal,,ftlesx06.premierds.net,Core Infrastructure,,98.09 GB,98.09 GB,209 MHz,8.05 GB,10,819 MB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Microsoft Windows Server 2025 (64-bit),vmx-21,8 GB,0 B,4,1,false,24 days,"192.168.1.37, fe80::71a1:41bf:41a4:363d",00:50:56:92:2f:13,guestToolsCurrent|12449,Running,FTLPCC02.PremierDestinationServices.com,,,421235a4-2b2a-1cb1-753b-0f6358919ff2,501298db-9f59-d45b-765f-19eb8bc266d5,,Enabled,N/A,Not Required," --",No,false,false,,
FTLCTX03,Powered On,Normal,,ftlesx02.premierds.net,Citrix Infrastructure,,154.09 GB,154.09 GB,207 MHz,8.49 GB,3,1.92 GB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Microsoft Windows Server 2025 (64-bit),vmx-21,64 GB,0 B,8,1,false,8 hours,"192.168.1.143, fe80::8998:a61:6405:fef8",00:50:56:92:73:53,guestToolsCurrent|12449,Running,FTLCTX03.PremierDestinationServices.com,"Intel® ""Sapphire Rapids"" Generation",,4212e0b5-7c2a-c94a-9f1f-b6a8ba7fa346,5012578e-e030-fd19-ada7-5d444a3528cd,,Enabled,N/A,Not Required," --",No,false,false,,
FTLCTX02,Powered On,Normal,,ftlesx01.premierds.net,Citrix Infrastructure,,154.09 GB,154.09 GB,207 MHz,9.79 GB,1,655 MB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Microsoft Windows Server 2025 (64-bit),vmx-21,64 GB,0 B,8,1,false,8 hours,"192.168.1.142, fe80::2824:c4a4:2217:df77",00:50:56:92:54:66,guestToolsCurrent|12449,Running,FTLCTX02.PremierDestinationServices.com,"Intel® ""Sapphire Rapids"" Generation",,42123d79-fb92-cb66-9697-91b054ace2e6,50120a8f-431f-d912-7516-ef053f18e248,,Enabled,N/A,Not Required," --",No,false,false,,
FTLCTX07,Powered On,Normal,,ftlesx04.premierds.net,Citrix Infrastructure,,154.09 GB,154.09 GB,181 MHz,12.19 GB,2,1.28 GB," -1 MB/s"," -1 MB/s"," -1 MB"," -1 MB"," -1 MB"," -1 MB",Microsoft Windows Server 2025 (64-bit),vmx-21,64 GB,0 B,8,1,false,2 hours,"192.168.1.147, fe80::2010:ee9c:f5ad:f951",00:50:56:92:ca:c0,guestToolsCurrent|12449,Running,FTLCTX07.PremierDestinationServices.com,"Intel® ""Sapphire Rapids"" Generation",,42125c41-ed3d-e5df-c607-d6da631f0720,50129145-4e9c-d85d-8dd5-2dca4918634f,,Enabled,N/A,Not Required," --",No,false,false,,
